Drug_Name,NAFDAC_Code,Manufacturer,Category,Label
NeiXeth Metronidazole 10mg/5ml,03-4661,Neimeth International Pharmaceuticals,Medical devices,0
NeiXeth Vitamin C 250mg,B4-3564,Neimeth International Pharmaceuticals,Medical devices,0
Vitalgrub Ciprofloxacin 500mg,XX-4285,Vitalgrub Nigeria Limited,Medical devices,0
Emzor Ciprofloxacin 10mg/5ml,03-5182,Vitalgrub Nigeria Limited,Vaccines and Biologics,0
Roche Paracetamol 10mg/5ml,INVALID-CODE,Roche Products Limited,Drugs,0
Wemy Vitamin C 100mg,XX-5584,Wemy Industries Limited,Vaccines and Biologics,0
Emzor Ibuprofen 500mg,03-9843,Lady Special Sanitary Pads Ventures,Vaccines and Biologics,0
Bond Omeprazole 10mg/5ml,REV-7182,Bond Chemical Industries Ltd,Veterinary,0
VitXlgrub Omeprazole 500mg,04-358034,Vitalgrub Nigeria Limited,Vaccines and Biologics,0
Roche Metronidazole 250mg,INVALID-CODE,Roche Products Limited,Herbals and Nutraceuticals,0
Sages Ibuprofen 250mg,REV-2040,Sages Multipurpose Enterprise Ltd,Drugs,0
May Paracetamol 100mg,A3-3548,Aktika Global Ltd,Drugs,0
GlaXoSmithKline Amoxicillin 10mg/5ml,A3-6014,GlaxoSmithKline Nigeria,Drugs,0
Wemy Loratadine 250mg,REV-2677,Wemy Industries Limited,Veterinary,0
BonX Amoxicillin 100mg,A4-3480,Bond Chemical Industries Ltd,Drugs,0
Aktika Metronidazole 10mg/5ml,B4-5944,May & Baker Nigeria Plc,Drugs,0
Swiss Metformin 100mg,REV-8062,Swiss Pharma Nigeria Ltd,Drugs,0
JuhXl Paracetamol 100mg,04-1822,Juhel Nigeria Ltd,Veterinary,0
Lady Metronidazole 100mg,B4-2884,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,0
Emzor Loratadine 10mg/5ml,REV-5648,Emzor Pharmaceutical Ind. Ltd,Medical devices,0
Roche Ciprofloxacin 100mg,03-1528,Fidson Healthcare Plc,Veterinary,0
Roche Ciprofloxacin 500mg,REV-4683,Roche Products Limited,Drugs,0
Aktika Vitamin C 10mg/5ml,XX-8368,Aktika Global Ltd,Medical devices,0
May Ciprofloxacin 100mg,INVALID-CODE,May & Baker Nigeria Plc,Veterinary,0
Wemy Amoxicillin 100mg,04-593754,Vitalgrub Nigeria Limited,Drugs,0
Bliss Vitamin C 10mg/5ml,04-4413,Juhel Nigeria Ltd,Drugs,0
SagXs Omeprazole 100mg,03-4482,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,0
GlaXoSmithKline Omeprazole 100mg,A4-2398,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,0
May Loratadine 100mg,REV-2671,May & Baker Nigeria Plc,Drugs,0
LadX Ciprofloxacin 100mg,04-4724,Lady Special Sanitary Pads Ventures,Veterinary,0
GlaxoSmithKline Ciprofloxacin 500mg,XX-8632,GlaxoSmithKline Nigeria,Drugs,0
Wemy Amoxicillin 500mg,INVALID-CODE,Wemy Industries Limited,Vaccines and Biologics,0
Aktika Ibuprofen 250mg,INVALID-CODE,Aktika Global Ltd,Veterinary,0
Sages Paracetamol 500mg,REV-7092,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,0
Bond Vitamin C 100mg,REV-7184,Bond Chemical Industries Ltd,Vaccines and Biologics,0
SagXs Loratadine 100mg,B4-9490,Sages Multipurpose Enterprise Ltd,Medical devices,0
Sages Loratadine 10mg/5ml,REV-7212,Sages Multipurpose Enterprise Ltd,Medical devices,0
Swiss Loratadine 250mg,XX-5637,Swiss Pharma Nigeria Ltd,Medical devices,0
Wemy Loratadine 500mg,XX-7034,Wemy Industries Limited,Drugs,0
GlaxoSmithKline Metformin 100mg,REV-9457,GlaxoSmithKline Nigeria,Medical devices,0
Bliss Loratadine 100mg,REV-7476,Bliss GVS Pharma Ltd,Vaccines and Biologics,0
GlaxoSmithKline Ibuprofen 500mg,REV-4359,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,0
Wemy Loratadine 250mg,REV-5717,Wemy Industries Limited,Vaccines and Biologics,0
SagXs Ibuprofen 500mg,03-8529,Sages Multipurpose Enterprise Ltd,Medical devices,0
Lady Artemether 250mg,B4-8604,Vitalgrub Nigeria Limited,Drugs,0
Emzor Ciprofloxacin 100mg,INVALID-CODE,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,0
Juhel Loratadine 250mg,04-5093,Roche Products Limited,Herbals and Nutraceuticals,0
Bliss Loratadine 250mg,XX-2284,Bliss GVS Pharma Ltd,Vaccines and Biologics,0
Emzor Ibuprofen 250mg,REV-1768,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,0
FidXon Ibuprofen 100mg,04-778072,Fidson Healthcare Plc,Medical devices,0
BonX Metformin 250mg,B4-697871,Bond Chemical Industries Ltd,Vaccines and Biologics,0
GlaxoSmithKline Artemether 100mg,INVALID-CODE,GlaxoSmithKline Nigeria,Medical devices,0
JuhXl Artemether 10mg/5ml,A4-462419,Juhel Nigeria Ltd,Medical devices,0
SagXs Metformin 100mg,A4-588494,Sages Multipurpose Enterprise Ltd,Drugs,0
Bond Metronidazole 100mg,REV-9733,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,0
Juhel Omeprazole 10mg/5ml,03-4778,Bond Chemical Industries Ltd,Medical devices,0
BonX Omeprazole 500mg,03-2124,Bond Chemical Industries Ltd,Vaccines and Biologics,0
Fidson Vitamin C 500mg,XX-2831,Fidson Healthcare Plc,Herbals and Nutraceuticals,0
Bond Amoxicillin 250mg,XX-1329,Bond Chemical Industries Ltd,Veterinary,0
Roche Ibuprofen 100mg,INVALID-CODE,Roche Products Limited,Vaccines and Biologics,0
Juhel Vitamin C 10mg/5ml,XX-6266,Juhel Nigeria Ltd,Medical devices,0
SagXs Loratadine 10mg/5ml,03-255532,Sages Multipurpose Enterprise Ltd,Medical devices,0
Roche Omeprazole 500mg,INVALID-CODE,Roche Products Limited,Veterinary,0
MayXVitamin C 100mg,A3-7561,May & Baker Nigeria Plc,Drugs,0
Swiss Omeprazole 500mg,XX-5722,Swiss Pharma Nigeria Ltd,Herbals and Nutraceuticals,0
Emzor Loratadine 100mg,REV-5185,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,0
Aktika Paracetamol 500mg,INVALID-CODE,Aktika Global Ltd,Herbals and Nutraceuticals,0
GlaxoSmithKline Ciprofloxacin 250mg,XX-2100,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,0
Roche Loratadine 250mg,XX-9708,Roche Products Limited,Herbals and Nutraceuticals,0
GlaxoSmithKline Metronidazole 500mg,REV-8770,GlaxoSmithKline Nigeria,Medical devices,0
Bond Metronidazole 500mg,INVALID-CODE,Bond Chemical Industries Ltd,Drugs,0
Neimeth Paracetamol 500mg,INVALID-CODE,Neimeth International Pharmaceuticals,Veterinary,0
EmzXr Amoxicillin 500mg,A3-721355,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,0
Aktika Ciprofloxacin 10mg/5ml,INVALID-CODE,Aktika Global Ltd,Vaccines and Biologics,0
EmzXr Metronidazole 100mg,B4-6647,Emzor Pharmaceutical Ind. Ltd,Drugs,0
Swiss Omeprazole 250mg,XX-1502,Swiss Pharma Nigeria Ltd,Medical devices,0
Bliss Ibuprofen 10mg/5ml,INVALID-CODE,Bliss GVS Pharma Ltd,Medical devices,0
Roche Loratadine 10mg/5ml,04-2219,Bliss GVS Pharma Ltd,Veterinary,0
JuhXl Ibuprofen 10mg/5ml,A4-4225,Juhel Nigeria Ltd,Vaccines and Biologics,0
Fidson Metronidazole 500mg,04-5356,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,0
Aktika Metformin 100mg,REV-4772,Aktika Global Ltd,Medical devices,0
Vitalgrub Metformin 10mg/5ml,REV-5018,Vitalgrub Nigeria Limited,Drugs,0
Lady Vitamin C 500mg,A4-5271,May & Baker Nigeria Plc,Drugs,0
LadX Artemether 100mg,03-3214,Lady Special Sanitary Pads Ventures,Herbals and Nutraceuticals,0
Juhel Metronidazole 250mg,XX-4367,Juhel Nigeria Ltd,Vaccines and Biologics,0
May Vitamin C 250mg,REV-2573,May & Baker Nigeria Plc,Herbals and Nutraceuticals,0
EmzXr Metronidazole 250mg,A4-509073,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,0
Bond Metformin 10mg/5ml,XX-6302,Bond Chemical Industries Ltd,Veterinary,0
MayXLoratadine 500mg,B4-881604,May & Baker Nigeria Plc,Medical devices,0
BliXs Artemether 500mg,A3-2410,Bliss GVS Pharma Ltd,Drugs,0
Bond Ibuprofen 500mg,INVALID-CODE,Bond Chemical Industries Ltd,Veterinary,0
Swiss Metformin 250mg,INVALID-CODE,Swiss Pharma Nigeria Ltd,Medical devices,0
FidXon Metronidazole 10mg/5ml,03-4345,Fidson Healthcare Plc,Herbals and Nutraceuticals,0
Vitalgrub Loratadine 100mg,XX-6977,Vitalgrub Nigeria Limited,Vaccines and Biologics,0
Vitalgrub Amoxicillin 250mg,A3-1878,Juhel Nigeria Ltd,Veterinary,0
Vitalgrub Omeprazole 500mg,REV-4540,Vitalgrub Nigeria Limited,Drugs,0
Neimeth Ibuprofen 100mg,B4-9668,Roche Products Limited,Drugs,0
WemX Amoxicillin 500mg,A4-7106,Wemy Industries Limited,Vaccines and Biologics,0
Neimeth Amoxicillin 250mg,INVALID-CODE,Neimeth International Pharmaceuticals,Drugs,0
Roche Loratadine 10mg/5ml,INVALID-CODE,Roche Products Limited,Drugs,0
Lady Vitamin C 500mg,REV-2079,Lady Special Sanitary Pads Ventures,Vaccines and Biologics,0
Lady Artemether 250mg,03-141755,Vitalgrub Nigeria Limited,Herbals and Nutraceuticals,0
BliXs Ciprofloxacin 10mg/5ml,B4-8347,Bliss GVS Pharma Ltd,Drugs,0
Bond Vitamin C 10mg/5ml,04-3056,Vitalgrub Nigeria Limited,Herbals and Nutraceuticals,0
Neimeth Vitamin C 100mg,04-4126,Vitalgrub Nigeria Limited,Drugs,0
Emzor Vitamin C 10mg/5ml,INVALID-CODE,Emzor Pharmaceutical Ind. Ltd,Veterinary,0
Emzor Metronidazole 10mg/5ml,INVALID-CODE,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,0
May Vitamin C 10mg/5ml,REV-6697,May & Baker Nigeria Plc,Medical devices,0
Fidson Omeprazole 250mg,04-9793,Wemy Industries Limited,Herbals and Nutraceuticals,0
Roche Artemether 250mg,INVALID-CODE,Roche Products Limited,Herbals and Nutraceuticals,0
Swiss Ibuprofen 500mg,XX-4659,Swiss Pharma Nigeria Ltd,Herbals and Nutraceuticals,0
Vitalgrub Artemether 100mg,XX-6283,Vitalgrub Nigeria Limited,Herbals and Nutraceuticals,0
Roche Paracetamol 500mg,XX-2340,Roche Products Limited,Herbals and Nutraceuticals,0
GlaxoSmithKline Loratadine 250mg,XX-6137,GlaxoSmithKline Nigeria,Drugs,0
Juhel Vitamin C 250mg,03-5294,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,0
Juhel Artemether 100mg,REV-2654,Juhel Nigeria Ltd,Herbals and Nutraceuticals,0
RocXe Ibuprofen 250mg,A4-3714,Roche Products Limited,Vaccines and Biologics,0
Aktika Metronidazole 250mg,INVALID-CODE,Aktika Global Ltd,Vaccines and Biologics,0
Bond Loratadine 250mg,REV-3758,Bond Chemical Industries Ltd,Vaccines and Biologics,0
May Vitamin C 100mg,XX-9625,May & Baker Nigeria Plc,Medical devices,0
AktXka Metformin 100mg,A3-9369,Aktika Global Ltd,Medical devices,0
Roche Ibuprofen 500mg,XX-9494,Roche Products Limited,Veterinary,0
Emzor Loratadine 100mg,REV-1832,Emzor Pharmaceutical Ind. Ltd,Veterinary,0
Juhel Paracetamol 10mg/5ml,REV-9751,Juhel Nigeria Ltd,Medical devices,0
Bliss Metronidazole 10mg/5ml,REV-9953,Bliss GVS Pharma Ltd,Drugs,0
GlaXoSmithKline Vitamin C 100mg,B4-7838,GlaxoSmithKline Nigeria,Medical devices,0
Swiss Omeprazole 100mg,A4-1297,Lady Special Sanitary Pads Ventures,Veterinary,0
Juhel Ibuprofen 500mg,REV-8750,Juhel Nigeria Ltd,Veterinary,0
BonX Amoxicillin 500mg,A4-5930,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,0
Swiss Amoxicillin 250mg,REV-5233,Swiss Pharma Nigeria Ltd,Medical devices,0
Neimeth Metformin 500mg,03-4912,Juhel Nigeria Ltd,Drugs,0
Bond Vitamin C 250mg,INVALID-CODE,Bond Chemical Industries Ltd,Medical devices,0
Fidson Loratadine 250mg,XX-3731,Fidson Healthcare Plc,Veterinary,0
GlaxoSmithKline Artemether 500mg,INVALID-CODE,GlaxoSmithKline Nigeria,Vaccines and Biologics,0
FidXon Artemether 500mg,A3-721626,Fidson Healthcare Plc,Herbals and Nutraceuticals,0
Juhel Metronidazole 100mg,REV-1768,Juhel Nigeria Ltd,Herbals and Nutraceuticals,0
BonX Ciprofloxacin 10mg/5ml,A3-4160,Bond Chemical Industries Ltd,Drugs,0
MayXVitamin C 500mg,03-964855,May & Baker Nigeria Plc,Veterinary,0
Roche Paracetamol 500mg,REV-9635,Roche Products Limited,Veterinary,0
Vitalgrub Ciprofloxacin 100mg,XX-5355,Vitalgrub Nigeria Limited,Medical devices,0
Wemy Metronidazole 500mg,03-754633,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,0
NeiXeth Omeprazole 250mg,A4-2974,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,0
May Amoxicillin 100mg,INVALID-CODE,May & Baker Nigeria Plc,Medical devices,0
Emzor Paracetamol 500mg,XX-7939,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,0
Wemy Ciprofloxacin 10mg/5ml,XX-8126,Wemy Industries Limited,Veterinary,0
Emzor Loratadine 250mg,XX-6263,Emzor Pharmaceutical Ind. Ltd,Veterinary,0
Juhel Amoxicillin 500mg,REV-3793,Juhel Nigeria Ltd,Drugs,0
Roche Artemether 500mg,REV-2198,Roche Products Limited,Drugs,0
Emzor Artemether 10mg/5ml,INVALID-CODE,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,0
Bliss Ibuprofen 250mg,REV-2892,Bliss GVS Pharma Ltd,Herbals and Nutraceuticals,0
Neimeth Metformin 10mg/5ml,INVALID-CODE,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,0
Sages Amoxicillin 100mg,INVALID-CODE,Sages Multipurpose Enterprise Ltd,Drugs,0
Sages Omeprazole 10mg/5ml,03-4163,May & Baker Nigeria Plc,Drugs,0
SwiXs Artemether 500mg,B4-9920,Swiss Pharma Nigeria Ltd,Veterinary,0
BliXs Omeprazole 100mg,B4-9486,Bliss GVS Pharma Ltd,Herbals and Nutraceuticals,0
May Artemether 500mg,B4-8892,Vitalgrub Nigeria Limited,Drugs,0
GlaxoSmithKline Vitamin C 250mg,XX-9050,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,0
Bond Loratadine 250mg,INVALID-CODE,Bond Chemical Industries Ltd,Medical devices,0
Roche Paracetamol 100mg,A3-3939,Wemy Industries Limited,Herbals and Nutraceuticals,0
Fidson Ciprofloxacin 250mg,XX-2892,Fidson Healthcare Plc,Vaccines and Biologics,0
SagXs Ibuprofen 100mg,03-6042,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,0
Fidson Vitamin C 10mg/5ml,INVALID-CODE,Fidson Healthcare Plc,Veterinary,0
GlaxoSmithKline Vitamin C 500mg,A4-3571,Wemy Industries Limited,Veterinary,0
Bond Ibuprofen 500mg,REV-3015,Bond Chemical Industries Ltd,Drugs,0
Swiss Artemether 100mg,B4-9705,Wemy Industries Limited,Vaccines and Biologics,0
Vitalgrub Artemether 500mg,A4-2626,Fidson Healthcare Plc,Herbals and Nutraceuticals,0
Vitalgrub Artemether 250mg,B4-4344,Juhel Nigeria Ltd,Drugs,0
Lady Vitamin C 250mg,REV-3018,Lady Special Sanitary Pads Ventures,Medical devices,0
Juhel Ciprofloxacin 250mg,INVALID-CODE,Juhel Nigeria Ltd,Drugs,0
VitXlgrub Loratadine 10mg/5ml,04-247039,Vitalgrub Nigeria Limited,Drugs,0
EmzXr Vitamin C 500mg,A4-6113,Emzor Pharmaceutical Ind. Ltd,Veterinary,0
Neimeth Omeprazole 250mg,REV-4883,Neimeth International Pharmaceuticals,Drugs,0
Fidson Omeprazole 250mg,XX-9216,Fidson Healthcare Plc,Veterinary,0
Lady Metformin 100mg,INVALID-CODE,Lady Special Sanitary Pads Ventures,Medical devices,0
Vitalgrub Loratadine 100mg,A3-199826,Swiss Pharma Nigeria Ltd,Veterinary,0
Juhel Ciprofloxacin 250mg,REV-8342,Juhel Nigeria Ltd,Medical devices,0
Vitalgrub Metformin 250mg,XX-7884,Vitalgrub Nigeria Limited,Veterinary,0
Neimeth Loratadine 10mg/5ml,XX-2741,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,0
Bond Artemether 100mg,XX-8485,Bond Chemical Industries Ltd,Veterinary,0
BonX Ibuprofen 10mg/5ml,A4-557095,Bond Chemical Industries Ltd,Vaccines and Biologics,0
May Metformin 500mg,A3-1898,Neimeth International Pharmaceuticals,Vaccines and Biologics,0
VitXlgrub Paracetamol 100mg,A4-6794,Vitalgrub Nigeria Limited,Medical devices,0
BonX Paracetamol 10mg/5ml,A4-2940,Bond Chemical Industries Ltd,Vaccines and Biologics,0
GlaxoSmithKline Vitamin C 250mg,A3-763054,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,0
GlaxoSmithKline Loratadine 100mg,REV-4967,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,0
JuhXl Paracetamol 10mg/5ml,A3-7112,Juhel Nigeria Ltd,Veterinary,0
Neimeth Paracetamol 250mg,A4-3353,Fidson Healthcare Plc,Medical devices,0
Sages Omeprazole 10mg/5ml,REV-4037,Sages Multipurpose Enterprise Ltd,Drugs,0
GlaxoSmithKline Loratadine 250mg,B4-2094,Vitalgrub Nigeria Limited,Veterinary,0
Lady Ibuprofen 500mg,INVALID-CODE,Lady Special Sanitary Pads Ventures,Medical devices,0
BonX Artemether 10mg/5ml,04-388052,Bond Chemical Industries Ltd,Medical devices,0
JuhXl Ciprofloxacin 100mg,A4-1812,Juhel Nigeria Ltd,Medical devices,0
Roche Loratadine 10mg/5ml,REV-1233,Roche Products Limited,Vaccines and Biologics,0
Juhel Metronidazole 10mg/5ml,REV-1889,Juhel Nigeria Ltd,Drugs,0
Juhel Vitamin C 10mg/5ml,A4-925180,Neimeth International Pharmaceuticals,Vaccines and Biologics,0
Juhel Loratadine 100mg,INVALID-CODE,Juhel Nigeria Ltd,Vaccines and Biologics,0
Sages Artemether 100mg,XX-1731,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,0
Juhel Loratadine 10mg/5ml,INVALID-CODE,Juhel Nigeria Ltd,Veterinary,0
Fidson Amoxicillin 100mg,04-1921,Emzor Pharmaceutical Ind. Ltd,Drugs,0
Vitalgrub Loratadine 250mg,A3-7695,Swiss Pharma Nigeria Ltd,Drugs,0
Bond Artemether 250mg,XX-9326,Bond Chemical Industries Ltd,Vaccines and Biologics,0
Wemy Vitamin C 100mg,03-5566,Vitalgrub Nigeria Limited,Herbals and Nutraceuticals,0
LadX Loratadine 10mg/5ml,A4-6436,Lady Special Sanitary Pads Ventures,Medical devices,0
Roche Paracetamol 250mg,XX-4367,Roche Products Limited,Medical devices,0
JuhXl Omeprazole 100mg,B4-9088,Juhel Nigeria Ltd,Medical devices,0
Swiss Paracetamol 250mg,XX-6229,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,0
Roche Metformin 100mg,REV-3415,Roche Products Limited,Herbals and Nutraceuticals,0
Juhel Metformin 10mg/5ml,INVALID-CODE,Juhel Nigeria Ltd,Vaccines and Biologics,0
Wemy Ciprofloxacin 250mg,INVALID-CODE,Wemy Industries Limited,Herbals and Nutraceuticals,0
Roche Metronidazole 500mg,XX-3949,Roche Products Limited,Drugs,0
Wemy Ibuprofen 500mg,04-5191,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,0
Wemy Artemether 250mg,B4-715529,Emzor Pharmaceutical Ind. Ltd,Veterinary,0
GlaxoSmithKline Paracetamol 250mg,INVALID-CODE,GlaxoSmithKline Nigeria,Medical devices,0
SagXs Metformin 10mg/5ml,03-853631,Sages Multipurpose Enterprise Ltd,Medical devices,0
Emzor Loratadine 100mg,REV-4573,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,0
LadX Omeprazole 500mg,A4-2254,Lady Special Sanitary Pads Ventures,Drugs,0
GlaXoSmithKline Omeprazole 500mg,03-908654,GlaxoSmithKline Nigeria,Vaccines and Biologics,0
Emzor Ciprofloxacin 10mg/5ml,A3-9971,Juhel Nigeria Ltd,Veterinary,0
Bliss Ibuprofen 10mg/5ml,XX-9090,Bliss GVS Pharma Ltd,Drugs,0
GlaXoSmithKline Loratadine 250mg,A3-6468,GlaxoSmithKline Nigeria,Medical devices,0
Swiss Metformin 250mg,INVALID-CODE,Swiss Pharma Nigeria Ltd,Medical devices,0
Neimeth Paracetamol 100mg,REV-7645,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,0
BliXs Metformin 250mg,A4-3889,Bliss GVS Pharma Ltd,Veterinary,0
Juhel Amoxicillin 500mg,INVALID-CODE,Juhel Nigeria Ltd,Medical devices,0
May Metformin 500mg,REV-2995,May & Baker Nigeria Plc,Medical devices,0
Roche Metronidazole 100mg,REV-4891,Roche Products Limited,Drugs,0
BonX Metformin 100mg,04-3723,Bond Chemical Industries Ltd,Vaccines and Biologics,0
Sages Amoxicillin 10mg/5ml,A4-2997,Wemy Industries Limited,Veterinary,0
BliXs Artemether 10mg/5ml,04-2116,Bliss GVS Pharma Ltd,Herbals and Nutraceuticals,0
JuhXl Amoxicillin 10mg/5ml,04-3867,Juhel Nigeria Ltd,Drugs,0
Aktika Amoxicillin 500mg,REV-9107,Aktika Global Ltd,Veterinary,0
Lady Loratadine 100mg,XX-1242,Lady Special Sanitary Pads Ventures,Herbals and Nutraceuticals,0
Bond Ibuprofen 500mg,REV-9015,Bond Chemical Industries Ltd,Drugs,0
Neimeth Paracetamol 100mg,XX-7747,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,0
BonX Omeprazole 10mg/5ml,04-1387,Bond Chemical Industries Ltd,Vaccines and Biologics,0
BliXs Vitamin C 10mg/5ml,A4-9858,Bliss GVS Pharma Ltd,Medical devices,0
FidXon Ciprofloxacin 250mg,04-8956,Fidson Healthcare Plc,Medical devices,0
Fidson Ciprofloxacin 100mg,XX-1646,Fidson Healthcare Plc,Vaccines and Biologics,0
May Loratadine 250mg,XX-5656,May & Baker Nigeria Plc,Medical devices,0
Swiss Artemether 10mg/5ml,XX-1537,Swiss Pharma Nigeria Ltd,Drugs,0
Sages Ciprofloxacin 10mg/5ml,REV-1234,Sages Multipurpose Enterprise Ltd,Veterinary,0
Sages Paracetamol 10mg/5ml,REV-7539,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,0
Bond Paracetamol 250mg,INVALID-CODE,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,0
SwiXs Amoxicillin 10mg/5ml,B4-8385,Swiss Pharma Nigeria Ltd,Herbals and Nutraceuticals,0
Lady Metformin 100mg,XX-3083,Lady Special Sanitary Pads Ventures,Drugs,0
VitXlgrub Ibuprofen 500mg,B4-3331,Vitalgrub Nigeria Limited,Herbals and Nutraceuticals,0
Bliss Ciprofloxacin 500mg,XX-2690,Bliss GVS Pharma Ltd,Herbals and Nutraceuticals,0
Neimeth Metformin 10mg/5ml,REV-3670,Neimeth International Pharmaceuticals,Veterinary,0
Fidson Artemether 250mg,XX-9659,Fidson Healthcare Plc,Drugs,0
Aktika Loratadine 500mg,INVALID-CODE,Aktika Global Ltd,Drugs,0
Roche Vitamin C 500mg,REV-2494,Roche Products Limited,Herbals and Nutraceuticals,0
Roche Ciprofloxacin 250mg,REV-9055,Roche Products Limited,Drugs,0
Swiss Metformin 250mg,XX-9630,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,0
SwiXs Amoxicillin 10mg/5ml,04-976382,Swiss Pharma Nigeria Ltd,Medical devices,0
Emzor Omeprazole 500mg,REV-1444,Emzor Pharmaceutical Ind. Ltd,Drugs,0
Neimeth Ibuprofen 100mg,A3-112618,Juhel Nigeria Ltd,Drugs,0
Wemy Paracetamol 250mg,XX-5008,Wemy Industries Limited,Herbals and Nutraceuticals,0
Juhel Ibuprofen 500mg,XX-1496,Juhel Nigeria Ltd,Medical devices,0
GlaxoSmithKline Loratadine 100mg,INVALID-CODE,GlaxoSmithKline Nigeria,Veterinary,0
GlaxoSmithKline Metronidazole 500mg,REV-5253,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,0
Sages Ciprofloxacin 100mg,INVALID-CODE,Sages Multipurpose Enterprise Ltd,Veterinary,0
Sages Metronidazole 10mg/5ml,A3-1956,Fidson Healthcare Plc,Medical devices,0
SwiXs Amoxicillin 100mg,A3-416146,Swiss Pharma Nigeria Ltd,Medical devices,0
Lady Metronidazole 10mg/5ml,REV-2793,Lady Special Sanitary Pads Ventures,Veterinary,0
Bond Ibuprofen 10mg/5ml,INVALID-CODE,Bond Chemical Industries Ltd,Vaccines and Biologics,0
LadX Artemether 250mg,B4-4427,Lady Special Sanitary Pads Ventures,Herbals and Nutraceuticals,0
Juhel Paracetamol 100mg,A4-6864,Vitalgrub Nigeria Limited,Veterinary,0
FidXon Loratadine 100mg,A4-4800,Fidson Healthcare Plc,Drugs,0
Neimeth Artemether 10mg/5ml,04-9293,Bond Chemical Industries Ltd,Drugs,0
LadX Paracetamol 10mg/5ml,03-618216,Lady Special Sanitary Pads Ventures,Herbals and Nutraceuticals,0
May Paracetamol 500mg,A3-7209,Aktika Global Ltd,Veterinary,0
Swiss Paracetamol 250mg,INVALID-CODE,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,0
Sages Vitamin C 100mg,REV-1755,Sages Multipurpose Enterprise Ltd,Medical devices,0
Bliss Vitamin C 100mg,INVALID-CODE,Bliss GVS Pharma Ltd,Drugs,0
Juhel Amoxicillin 100mg,REV-5150,Juhel Nigeria Ltd,Veterinary,0
Fidson Loratadine 500mg,REV-5765,Fidson Healthcare Plc,Medical devices,0
Swiss Metformin 500mg,REV-7553,Swiss Pharma Nigeria Ltd,Veterinary,0
EmzXr Vitamin C 500mg,A3-2309,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,0
Aktika Omeprazole 100mg,A3-2201,Bliss GVS Pharma Ltd,Veterinary,0
EmzXr Metformin 10mg/5ml,A3-6575,Emzor Pharmaceutical Ind. Ltd,Drugs,0
BliXs Ciprofloxacin 500mg,A4-1093,Bliss GVS Pharma Ltd,Veterinary,0
Bond Artemether 10mg/5ml,REV-6789,Bond Chemical Industries Ltd,Veterinary,0
SagXs Vitamin C 250mg,04-546402,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,0
FidXon Metformin 500mg,A4-7916,Fidson Healthcare Plc,Herbals and Nutraceuticals,0
Fidson Artemether 500mg,A3-2109,Bond Chemical Industries Ltd,Vaccines and Biologics,0
Bond Ciprofloxacin 500mg,REV-1560,Bond Chemical Industries Ltd,Drugs,0
Bliss Ciprofloxacin 500mg,XX-2864,Bliss GVS Pharma Ltd,Drugs,0
Bliss Omeprazole 250mg,REV-1296,Bliss GVS Pharma Ltd,Drugs,0
May Artemether 10mg/5ml,B4-361490,Neimeth International Pharmaceuticals,Medical devices,0
Roche Ibuprofen 500mg,REV-3268,Roche Products Limited,Herbals and Nutraceuticals,0
